cod pro;Razão Social;Nome Fantasia;ativo;Série do Fabricante;cod Produto;Descrição pro;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2004;PE08BL83;1040;NOTEBOOK LENOVO THINKPAD T14 RYZEN 7 G1;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;15/03/2024;1284;;Envio;342,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1032;PE08ZXQG;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;18/03/2024;1296;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1127;PE06Z4EJ;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;18/03/2024;1295;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1572;PE0A8JN7;1054;NOTEBOOK LENOVO THINKPAD L14 AMD R7 PRO;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;18/03/2024;1297;;Retorno;342,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1575;PE0A8JQA;1054;NOTEBOOK LENOVO THINKPAD L14 AMD R7 PRO;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;19/03/2024;1301;;Envio;342,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1032;PE08ZXQG;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;20/03/2024;1314;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1083;PE089EZZ;10213;NOTEBOOK LENOVO THINKPAD E14 G1 RYZEN 5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;20/03/2024;1307;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1392;210AZER12964;3032;MONITOR 19.5 LED LG 20MK400H;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;21/03/2024;1322;;Envio;59,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1266;PE09ENKF;1026;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;22/03/2024;1330;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1572;PE0A8JN7;1054;NOTEBOOK LENOVO THINKPAD L14 AMD R7 PRO;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;22/03/2024;1313;;Envio;342,00
